City,Carlsbad,Chula Vista,Coronado,Del Mar,El Cajon,Encinitas,Escondido,Imperial Beach,La Mesa,Lemon Grove,National City,Oceanside,Poway,San Diego,San Marcos,Santee,Solana Beach,Vista,Total,Alpine,Bonita,Bonsall,Borrego Springs,Boulevard,Campo,Descanso,Dulzura,Fallbrook,Jamul,Julian,Lakeside,Pala,Pauma Valley,Portrero,Ramona,Ranchita,Rancho Santa Fe,Santa Ysabel,Spring Valley,Tecate,Valley Center,Other,Total,Unknown,San Diego County,Date Retrieved
Administration,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unknown,Total,Unnamed: 46_level_1
Data through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,24.0,32.0,1.0,6.0,34.0,19.0,10.0,,6.0,4.0,8.0,14.0,7.0,38.0,5.0,3.0,2.0,11.0,536,,4.0,,,,,,,4.0,,,4.0,,,,4.0,,10.0,,12.0,,,,38.0,29.0,603.0,2020-03-31 10:01:00
2020-03-30,27.0,38.0,1.0,5.0,36.0,20.0,11.0,0.0,8.0,5.0,10.0,17.0,7.0,70.0,5.0,5.0,3.0,8.0,628,,3.0,,,,,,,4.0,,,5.0,,,,4.0,,11.0,,17.0,,,26.0,70.0,36.0,734.0,2020-04-01 10:01:00
2020-03-31,30.0,52.0,2.0,5.0,38.0,24.0,14.0,0.0,11.0,5.0,11.0,20.0,9.0,87.0,10.0,5.0,3.0,9.0,734,,6.0,,,,,,,4.0,,,8.0,,1.0,,4.0,,12.0,,18.0,,,34.0,87.0,28.0,849.0,2020-04-02 10:01:05
2020-04-01,32.0,65.0,2.0,5.0,43.0,25.0,23.0,1.0,12.0,8.0,12.0,22.0,10.0,101.0,12.0,10.0,5.0,9.0,836,,6.0,,,,,,,6.0,,,8.0,,2.0,,4.0,,14.0,,21.0,,,40.0,101.0,29.0,966.0,2020-04-03 14:00:25
2020-04-02,37.0,75.0,4.0,7.0,60.0,27.0,26.0,2.0,15.0,10.0,18.0,27.0,13.0,117.0,13.0,12.0,5.0,15.0,980,1.0,7.0,,1.0,,,1.0,,5.0,1.0,,8.0,,2.0,,6.0,2.0,13.0,,23.0,,1.0,46.0,117.0,15.0,1112.0,2020-04-04 14:34:31
2020-04-03,39.0,86.0,4.0,7.0,67.0,27.0,27.0,3.0,18.0,13.0,18.0,29.0,13.0,136.0,17.0,15.0,5.0,17.0,1054,1.0,8.0,,1.0,,,1.0,,6.0,1.0,,9.0,,2.0,,7.0,2.0,14.0,,27.0,,3.0,54.0,136.0,19.0,1209.0,2020-04-05 10:01:06
2020-04-04,41.0,95.0,4.0,8.0,72.0,29.0,28.0,6.0,18.0,12.0,19.0,30.0,13.0,141.0,17.0,16.0,5.0,18.0,"1,117",1.0,8.0,,1.0,,,1.0,,6.0,1.0,,10.0,,2.0,,7.0,2.0,14.0,,28.0,,3.0,57.0,141.0,68.0,1326.0,2020-04-06 10:01:06
2020-04-05,42.0,104.0,4.0,8.0,74.0,30.0,28.0,7.0,23.0,13.0,25.0,31.0,14.0,157.0,19.0,16.0,5.0,21.0,"1,177",1.0,8.0,,1.0,,,1.0,,6.0,2.0,,12.0,,2.0,,8.0,2.0,14.0,,34.0,,3.0,63.0,157.0,70.0,1404.0,2020-04-07 10:01:07
2020-04-06,42.0,120.0,4.0,8.0,85.0,31.0,32.0,7.0,25.0,14.0,25.0,31.0,15.0,176.0,20.0,14.0,5.0,22.0,"1,250",1.0,11.0,,1.0,,,1.0,,6.0,3.0,,14.0,,2.0,,9.0,2.0,14.0,,34.0,,3.0,75.0,176.0,28.0,1454.0,2020-04-08 10:01:07
2020-04-07,43.0,133.0,4.0,8.0,88.0,32.0,35.0,9.0,26.0,14.0,28.0,34.0,16.0,192.0,20.0,16.0,5.0,24.0,"1,318",1.0,13.0,,1.0,,,1.0,,6.0,3.0,,14.0,,2.0,,10.0,2.0,14.0,,37.0,,3.0,85.0,192.0,20.0,1530.0,2020-04-09 10:01:06
2020-04-08,43.0,154.0,5.0,8.0,93.0,32.0,39.0,10.0,30.0,14.0,32.0,34.0,16.0,208.0,21.0,17.0,5.0,26.0,"1,400",1.0,13.0,,1.0,1.0,,1.0,,7.0,4.0,,13.0,,2.0,,10.0,2.0,14.0,,39.0,,3.0,97.0,208.0,20.0,1628.0,2020-04-10 10:01:06
2020-04-09,48.0,163.0,5.0,8.0,97.0,33.0,46.0,10.0,33.0,14.0,33.0,36.0,17.0,218.0,22.0,17.0,5.0,28.0,"1,464",1.0,13.0,,1.0,1.0,,1.0,,8.0,4.0,,14.0,,2.0,,10.0,2.0,14.0,,42.0,,3.0,102.0,218.0,11.0,1693.0,2020-04-11 10:01:06
2020-04-10,48.0,170.0,5.0,8.0,105.0,34.0,50.0,10.0,34.0,15.0,37.0,36.0,18.0,227.0,21.0,18.0,5.0,28.0,"1,516",1.0,13.0,1.0,1.0,1.0,,1.0,,9.0,4.0,,14.0,,2.0,,10.0,2.0,14.0,,45.0,,3.0,106.0,227.0,18.0,1761.0,2020-04-12 10:01:07
